Kanji,YuetPing
笨,ban
繽,ban/pan
臏,ban/pan
虨,ban
蟦,ban/fei
蠙,ban/pan
豩,ban
豳,ban
賁,ban/bei/fan
賓,ban
賔,ban
輽,ban
逩,ban
邠,ban
錛,ban
鐼,ban/fan
鑌,ban
霦,ban
顮,ban
餴,ban/fan
驞,ban/pan
髕,ban/pan
髩,ban
鬂,ban
鬢,ban
𡣕,ban
𢷤,ban
𦆯,ban
𦯀,ban
𧓍,ban
𨮘,ban
𩣺,ban
𩯭,ban
㑟,bang
㙃,bang
䑫,bang
䔊,bang
䙀,bang
䙖,bang
䨜,bang
䨻,bang
傰,bang/pang
凭,bang/pang/peng
嗙,bang/bon/paang/pong
嘣,bang
奟,bang
崩,bang
嵭,bang
弸,bang/pang
憑,bang/pang
捠,bang
甭,bang/bat/bung
痭,bang
祊,bang/paang
絣,bang/bing/maang
鏰,bang
靐,bang
𧌇,bang
㓖,bat
㚕,bat
㢶,bat
㢸,bat
㧞,bat
㪤,bat
㮿,bat
㳼,bat
㻶,bat
䄶,bat
䖩,bat
䟆,bat
䟛,bat
䟦,bat
䩛,bat
䬛,bat
䮡,bat
䯋,bat
䳁,bat
䳊,bat
不,bat/fau/pei
佛,bat/fat
叐,bat
吥,bat
嗶,bat
妭,bat
妼,bat
弻,bat
弼,bat
彃,bat
抜,bat
拂,bat/fat
拔,bat
滭,bat
潷,bat/bei
炦,bat
熚,bat
犮,bat
珌,bat/bei/bit
畢,bat
癹,bat
皕,bat/bik
秡,bat
筆,bat
篳,bat
縪,bat
罼,bat
胇,bat/fai
胈,bat
苾,bat/bit
茀,bat/but/fat
菝,bat
蓽,bat
袐,bat
襅,bat
觱,bat/bit
詙,bat
跋,bat/but
蹕,bat
軷,bat
邲,bat/bei/bin/bit
鈈,bat
鈸,bat/but/put
鏎,bat
鞸,bat/bei
韠,bat
颰,bat
饆,bat
馛,bat
駜,bat/bit
驆,bat
魓,bat
鮁,bat/but
鴓,bat/mat/mit
鷝,bat
鼥,bat
鼻,bat/bei
𢏺,bat
𢳂,bat/pat
𢴩,bat
𤒹,bat
𥷑,bat
㨐,bau
䏽,bau
䬏,bau
䴺,bau
勏,bau
培,bau/pui
堷,bau/jam
犃,bau
瓿,bau/bou/pau
餢,bau
啤,be/bi/pe/pei
嚊,be/bei
𠹇,be
㑭,bei
㗗,bei
㘩,bei
㠲,bei
㢰,bei
㣁,bei
㸢,bei
㽡,bei
㿫,bei
䀝,bei
䀣,bei
䃾,bei
䉾,bei
䊌,bei
䍘,bei
䎵,bei
䏢,bei
䑄,bei
䕗,bei
䘡,bei
䣥,bei
䥯,bei
䥸,bei
䩀,bei
䪐,bei
䫁,bei
䯗,bei
佊,bei
俻,bei
俾,bei/pai
偹,bei
備,bei
僃,bei
匕,bei
卑,bei
吡,bei/pei
夶,bei
奰,bei
妣,bei
媲,bei/pei
嬶,bei
屄,bei/hai
崥,bei/pei
庇,bei
庳,bei/pei
彼,bei
怶,bei
悲,bei
朼,bei
枈,bei
柀,bei
柲,bei
椑,bei/pei/pik
比,bei/pei
毖,bei
毗,bei/pei
毘,bei/pei
毴,bei
沘,bei
渒,bei
犕,bei
犤,bei
琲,bei/pui
畀,bei
畁,bei
疕,bei/pei
疪,bei
痹,bei
痺,bei
碑,bei
秕,bei
箄,bei/paai
箅,bei
箆,bei
簰,bei/paai
粃,bei
粊,bei
糒,bei
絥,bei/fuk
羆,bei
聛,bei
肶,bei
肹,bei/jat
脾,bei/pei
臂,bei
舭,bei
芘,bei/pei
萆,bei
萞,bei
藣,bei
被,bei/pei
裨,bei/pei
襣,bei
詖,bei/pei
貏,bei
貱,bei
費,bei/fai
贔,bei
輩,bei/bui
轡,bei
辟,bei/bik/mai/pik
避,bei
鄪,bei
鉍,bei/bit
錃,bei
閟,bei
陂,bei/bo/pei/po
鞁,bei/pei
鞞,bei/bing/pei
鞴,bei
飶,bei/bit
骳,bei
髀,bei
髲,bei
鵯,bei/pat
𠳓,bei
𡀠,bei
𦱔,bei
壁,bek/bik
柄,beng/bing
棅,beng/bing
病,beng/bing
鉼,beng/ping
餅,beng/bing
餠,beng/bing
㘠,bik
㨽,bik
㷶,bik
䧗,bik
䫾,bik
䮠,bik
偪,bik
廦,bik/pik
愊,bik
愎,bik/fuk
排,bik/paai
揊,bik
擗,bik/pek/pik
楅,bik
湢,bik/seon
煏,bik
璧,bik
甓,bik/pik
疈,bik
碧,bik
稫,bik/pik
綼,bik
繴,bik
腷,bik
襞,bik
踾,bik/fuk/pik
躃,bik
躄,bik
逼,bik
鐴,bik
鰏,bik
鶝,bik/fuk
鼊,bik
𠁆,bik
𤩹,bik
𤾩,bik
㝸,bin
㣐,bin
㦚,bin
㭓,bin
㲢,bin
㳎,bin
㵷,bin
㺹,bin
䁵,bin
䉸,bin
䒪,bin
䛒,bin
䟍,bin
䡢,bin
䪻,bin
䭏,bin
亪,bin
便,bin/pin
匾,bin
卞,bin
変,bin
峅,bin
弁,bin/pun
徧,bin/pin
忭,bin
惼,bin/pin
扁,bin/pin
抃,bin
昪,bin
汳,bin
汴,bin
炞,bin
煸,bin/pin
牑,bin
猵,bin
玣,bin
甂,bin/pin
砭,bin
碥,bin
稨,bin
窆,bin
笲,bin/faan
箯,bin
籩,bin
糄,bin
緶,bin/pin
艑,bin
苄,bin
萹,bin/pin
藊,bin
蝙,bin/pin
褊,bin/pin
覍,bin
變,bin
貶,bin
辡,bin
辧,bin
辨,bin
辮,bin
辯,bin
遍,bin/pin
邉,bin
邊,bin
釆,bin
鍽,bin
閞,bin/faan
鞭,bin
鯾,bin
鯿,bin
鴘,bin
鶣,bin/pin
㓈,bing
㨀,bing
䗒,bing
䴵,bing
丙,bing
並,bing
乒,bing/ping
仌,bing
仒,bing
併,bing/ping
倂,bing/ping
偋,bing
傡,bing
兵,bing
冫,bing
冰,bing/jing
垪,bing
寎,bing
屏,bing/ping
屛,bing/ping
并,bing/ping
幷,bing
庰,bing
怲,bing
抦,bing
掤,bing
摒,bing
昞,bing/fong
昺,bing
栤,bing
氞,bing
氷,bing
炳,bing
眪,bing
秉,bing
窉,bing
竝,bing
苪,bing
蛃,bing
迸,bing
逬,bing
邴,bing
鈵,bing
鋲,bing
陃,bing
鞆,bing
鮩,bing
𠹶,bing/ping
𡛦,bing
𡟛,bing
𣶸,bing
𤦋,bing
𦛼,bing
𨧺,bing
𨴴,bing
㔡,bit
㢼,bit
㻫,bit
㿜,bit
䇷,bit
䌘,bit
䏟,bit
䘷,bit
䠥,bit
䭱,bit
䳤,bit
佖,bit
別,bit
咇,bit
彆,bit
必,bit
怭,bit
憋,bit
癟,bit
莂,bit
虌,bit
蛂,bit
蟞,bit
襒,bit
蹩,bit
馝,bit
鮅,bit
鱉,bit
鼈,bit
龞,bit
𠦒,bit
𡋾,bit
㟽,biu
㠒,biu
㧼,biu
㯹,biu
㶾,biu
䁃,biu
䁭,biu
䅺,biu
䔸,biu
䙳,biu
䞄,biu
䮶,biu
䮽,biu
䱪,biu
俵,biu
儦,biu
墂,biu
婊,biu
嫑,biu
幖,biu
彪,biu
摽,biu/piu
杓,biu/soek/zoek
標,biu
檦,biu
滮,biu/piu
瀌,biu/piu
灬,biu/sei dim
熛,biu
爂,biu
猋,biu
瘭,biu
磦,biu
票,biu/piu
穮,biu
脿,biu
膘,biu
臕,biu
蔈,biu
藨,biu
表,biu
裱,biu
褾,biu
諘,biu
謤,biu/piu
贆,biu
錶,biu
鏢,biu
鑣,biu
颩,biu
颮,biu/paau
颷,biu
飆,biu
飇,biu
飈,biu
飊,biu
驃,biu/piu
驫,biu
髟,biu
鰾,biu/piu
麃,biu/paau/piu
䝛,bo
僠,bo/faan
啵,bo
