Kanji,YuetPing
郺,jung
鄘,jung
鎓,jung
鎔,jung
鏞,jung
雍,jung
雝,jung
頌,jung/zung
顒,jung
饔,jung
駥,jung
鯒,jung
鰅,jung/jyu
鰫,jung/sung
鱅,jung
鶲,jung
鷛,jung
𠆌,jung
𠋀,jung
𢋊,jung
𣭲,jung
𤆤,jung
𤤌,jung
𤰉,jung
𥡲,jung
𦞳,jung
𧗴,jung
𧷜,jung
𨺳,jung
𩲭,jung
𪃾,jung
勇,jung
㐠,jyu
㐵,jyu
㑨,jyu
㒁,jyu
㒜,jyu
㔱,jyu
㖲,jyu
㖳,jyu
㘾,jyu
㙑,jyu
㙖,jyu
㚥,jyu
㝢,jyu
㝼,jyu
㡰,jyu
㤤,jyu
㥚,jyu
㥥,jyu
㦙,jyu
㦛,jyu
㨎,jyu
㪀,jyu
㫇,jyu
㫈,jyu
㬂,jyu
㬰,jyu
㭌,jyu
㲾,jyu
㳛,jyu
㶛,jyu
㷒,jyu
㹘,jyu
㺄,jyu
㺞,jyu
㺮,jyu
㻀,jyu
㻦,jyu
㼌,jyu
㼶,jyu
㾒,jyu
䁩,jyu
䂊,jyu
䂛,jyu
䃋,jyu
䄖,jyu
䄨,jyu
䆰,jyu
䊸,jyu
䍂,jyu
䏸,jyu
䐳,jyu
䔡,jyu
䗨,jyu
䘘,jyu
䘫,jyu
䘱,jyu
䚤,jyu
䛕,jyu
䜽,jyu
䞕,jyu
䢓,jyu
䢩,jyu
䣁,jyu
䣴,jyu
䣿,jyu
䥏,jyu
䦸,jyu
䨒,jyu
䨕,jyu
䨞,jyu
䩒,jyu
䩽,jyu
䫱,jyu
䬔,jyu
䰭,jyu
䰰,jyu
䰻,jyu
䱷,jyu
䲆,jyu
䴁,jyu
与,jyu
乳,jyu
乻,jyu
予,jyu
于,jyu
亐,jyu
伃,jyu
余,jyu/se
侞,jyu
俁,jyu
俞,jyu/syu
傴,jyu
儒,jyu
兪,jyu/syu
匬,jyu
吾,jyu/ng/ngaa
唹,jyu
喩,jyu
喻,jyu
噢,jyu/o/ou
噳,jyu
嚅,jyu
圄,jyu
圉,jyu
堣,jyu
堬,jyu
女,jyu/neoi
如,jyu
妤,jyu
娛,jyu
娯,jyu
婾,jyu/tau
媀,jyu
媮,jyu/tau
嫗,jyu
嬩,jyu
嬬,jyu
孺,jyu
宇,jyu
寓,jyu
寙,jyu
峿,jyu/ng
崳,jyu
嵎,jyu
嵛,jyu
嶼,jyu/zeoi
帤,jyu
庽,jyu
庾,jyu
御,jyu/ngaa
忬,jyu
悆,jyu
愈,jyu
愉,jyu
愚,jyu
懙,jyu
扜,jyu
扵,jyu/wu
挐,jyu/naa/naau
挧,jyu
敔,jyu
斔,jyu
斞,jyu
於,jyu/wu
旕,jyu
旟,jyu
曘,jyu
杅,jyu
桇,jyu
桙,jyu
棜,jyu
楀,jyu
楡,jyu
楰,jyu
榆,jyu
櫲,jyu
歈,jyu
歟,jyu
歶,jyu
毹,jyu/syu
毺,jyu/syu
汝,jyu
洳,jyu
淤,jyu
渝,jyu
渪,jyu
湡,jyu
漁,jyu
澞,jyu
澦,jyu
濡,jyu
燸,jyu/nyun
牏,jyu/tau
狳,jyu
玗,jyu
瑀,jyu
瑜,jyu
璵,jyu
畬,jyu/se
畭,jyu
痀,jyu/keoi
瘀,jyu
瘉,jyu
瘐,jyu
癒,jyu
盂,jyu
盓,jyu/wu
睮,jyu
硢,jyu
礖,jyu
礜,jyu
禦,jyu
禹,jyu
禺,jyu
秗,jyu
穥,jyu
穻,jyu
窬,jyu
窳,jyu
竽,jyu
筎,jyu
箊,jyu
篽,jyu
籅,jyu
籞,jyu
籹,jyu/neoi
紆,jyu
繻,jyu/seoi
羭,jyu
羽,jyu
肗,jyu
腢,jyu/ngau
腴,jyu
舁,jyu
與,jyu
舙,jyu
艅,jyu
芋,jyu/wu
茰,jyu
茹,jyu
萮,jyu
萸,jyu
蒘,jyu/leoi/naa/neoi
蓹,jyu
蕍,jyu
蕠,jyu
蕷,jyu
薷,jyu
藇,jyu/zeoi
蘌,jyu
虞,jyu
虶,jyu
蝓,jyu
蝡,jyu/jyun
螸,jyu
蠕,jyu/jyun
衧,jyu
袽,jyu
裕,jyu
褕,jyu
襦,jyu
覦,jyu
語,jyu
諛,jyu
諭,jyu
謣,jyu
譃,jyu
譽,jyu
豫,jyu
貐,jyu
踰,jyu
輿,jyu
轝,jyu
込,jyu
迂,jyu
迃,jyu
逾,jyu
遇,jyu
邘,jyu
邚,jyu
酑,jyu
醧,jyu
醹,jyu
釪,jyu/waa
銣,jyu
鋙,jyu/ng
鍝,jyu
陓,jyu/wu
隃,jyu
隅,jyu
雓,jyu
雨,jyu
雩,jyu
預,jyu
頨,jyu/pin
顬,jyu
飫,jyu
餘,jyu
饇,jyu
馀,jyu
馭,jyu
騟,jyu
骬,jyu
髃,jyu/ngau
魚,jyu
魣,jyu
鮽,jyu
鯲,jyu
鱬,jyu
鴑,jyu
鴽,jyu
鷠,jyu
鸆,jyu
鸒,jyu
麌,jyu
齬,jyu
齵,jyu
龥,jyu
𠈌,jyu
𠉴,jyu
𠏋,jyu
𠯆,jyu
𡒊,jyu
𡢢,jyu
𢢭,jyu
𣈯,jyu
𣳿,jyu
𤲞,jyu
𦀡,jyu
𦖭,jyu
𦲸,jyu
𦽳,jyu
𧱬,jyu
𨦫,jyu
𨨶,jyu
𨺲,jyu
𩁹,jyu
𩦢,jyu
𩺰,jyu/ng
㓴,jyun
㜛,jyun
㝴,jyun
㞍,jyun
㟲,jyun
㟶,jyun
㠾,jyun
㤪,jyun
㥐,jyun
㥳,jyun
㨬,jyun
㫟,jyun
㭇,jyun
㮕,jyun
㳂,jyun
㴊,jyun
㶜,jyun
㷧,jyun
㹉,jyun
㹡,jyun
㻆,jyun
㻨,jyun
㼱,jyun
㽜,jyun
㽭,jyun
㾓,jyun
㿪,jyun
䀏,jyun
䄗,jyun
䅈,jyun
䍏,jyun
䍗,jyun
䎡,jyun
䏍,jyun
䑱,jyun
䒯,jyun
䓴,jyun
䕂,jyun
䖠,jyun
䖤,jyun
䖾,jyun
䗕,jyun
䘼,jyun
䙇,jyun
䛄,jyun
䛷,jyun
䝠,jyun/wun
䝮,jyun
䞂,jyun
䡝,jyun
䥉,jyun
䦾,jyun
䧎,jyun
䨊,jyun
䩊,jyun
䩙,jyun
䩩,jyun
䩰,jyun
䪭,jyun
䬇,jyun
䬧,jyun
䬼,jyun
䮄,jyun
䯈,jyun
䯘,jyun
䱲,jyun
䲮,jyun
䲶,jyun
䲻,jyun
䳃,jyun
䳒,jyun
䳣,jyun
䴨,jyun
丸,jyun
倇,jyun
偄,jyun
傆,jyun
允,jyun/wan
元,jyun
円,jyun
冤,jyun
刓,jyun
剈,jyun
原,jyun
厡,jyun
厵,jyun
員,jyun/wan
噮,jyun
囦,jyun
圎,jyun
園,jyun
圓,jyun
圜,jyun/waan
垸,jyun/wun
堧,jyun
塬,jyun
壖,jyun
夗,jyun
奫,jyun/wan
妧,jyun/wun
妴,jyun
婉,jyun/wun
媆,jyun
媛,jyun/wun
媴,jyun
嫄,jyun
嬽,jyun
完,jyun
宛,jyun/wun
寃,jyun
寏,jyun
岏,jyun
帵,jyun
忨,jyun/wun
怨,jyun
怰,jyun
惋,jyun/wun
惌,jyun
愞,jyun/no
愿,jyun
懸,jyun
抏,jyun/waan/wun
掾,jyun
援,jyun/wun
昖,jyun
昡,jyun
晼,jyun/wun
杬,jyun/laam/wun
棩,jyun
榞,jyun
榬,jyun
櫞,jyun
汍,jyun
沅,jyun
沿,jyun
泫,jyun
洹,jyun/wun
涴,jyun/wo
淵,jyun
渁,jyun
渆,jyun
渕,jyun
湲,jyun/wun
源,jyun
溒,jyun
灁,jyun
炫,jyun
烷,jyun
爰,jyun/wun
犉,jyun/seon
猨,jyun
猿,jyun
獂,jyun/wun
玄,jyun
玆,jyun/zi
琄,jyun
琓,jyun
琬,jyun
瑌,jyun
瑗,jyun
瓀,jyun
畹,jyun
盶,jyun
盷,jyun
県,jyun
眢,jyun
眩,jyun/waan
睕,jyun/waan
碝,jyun
礝,jyun
禐,jyun
笂,jyun
笎,jyun
箢,jyun
紈,jyun
綄,jyun/wun
綩,jyun
緛,jyun
緣,jyun
縁,jyun
縣,jyun
繯,jyun/waan
羱,jyun
耎,jyun
肙,jyun
芄,jyun
苑,jyun
茒,jyun
菀,jyun/wan/wat
葾,jyun
蒝,jyun/wun
蒬,jyun
薗,jyun
薳,jyun/wai
蚖,jyun
蜎,jyun
蜵,jyun
蜿,jyun
蝝,jyun
蝯,jyun
螈,jyun
衏,jyun
衒,jyun
袁,jyun
袨,jyun
裫,jyun
褑,jyun
褤,jyun
豲,jyun/wun
貟,jyun/wan
贙,jyun
贠,jyun/wan
踠,jyun
軟,jyun
輭,jyun
轅,jyun
逺,jyun
遠,jyun
邍,jyun
邧,jyun
酛,jyun
釻,jyun
鈆,jyun
鈨,jyun
鉉,jyun
鉛,jyun
鋺,jyun
鎱,jyun
闧,jyun
阮,jyun
院,jyun
隕,jyun/wan
願,jyun
駌,jyun
騵,jyun
魭,jyun
鳶,jyun
鵷,jyun
鶢,jyun/wun
鶰,jyun
黿,jyun
鼘,jyun
鼝,jyun
𠒑,jyun
𡊨,jyun
𡚺,jyun
𡝴,jyun
𡟃,jyun
𢥧,jyun
𣆂,jyun
𣸱,jyun
𤋉,jyun
𤳙,jyun
𤾂,jyun
𦶤,jyun
𦹅,jyun
𧨎,jyun
𨍥,jyun
𨘻,jyun
𨪛,jyun
𨭦,jyun
𨯬,jyun
㜧,jyut
㳉,jyut
䄴,jyut
䆕,jyut
䆢,jyut
䋉,jyut
䋐,jyut
䋖,jyut
䜳,jyut
䟠,jyut
䡇,jyut
䢖,jyut
䤦,jyut
䮅,jyut
乙,jyut
乚,jyut
仴,jyut
刖,jyut
噊,jyut/leot/wat
噦,jyut/wai
坹,jyut
妜,jyut
岄,jyut
恱,jyut
悅,jyut
悦,jyut
戉,jyut
抈,jyut
月,jyut
樾,jyut
泧,jyut/kut/wut
潏,jyut/kyut/seot/wat
澚,jyut
燏,jyut/leot/wat
玥,jyut
矞,jyut/kyut/leot/wat
穴,jyut
篗,jyut/wok
籆,jyut/wok
粵,jyut
聿,jyut/leot/wat
芛,jyut
茓,jyut
茟,jyut
蚎,jyut
蚏,jyut
袕,jyut/seot
說,jyut/seoi/syut
説,jyut/seoi/syut
越,jyut
軏,jyut
遹,jyut/leot/wat
釔,jyut
鉞,jyut
銉,jyut
閱,jyut
閲,jyut
驈,jyut/leot/wat
鳦,jyut
鴥,jyut/wat
鷸,jyut/leot/neot/wat
𡛟,jyut
𧑐,jyut
𧞄,jyut
𨊸,jyut
𨬓,jyut
㤉,kaa
䯊,kaa
佧,kaa
卡,kaa/kaat/zaap
咔,kaa
峠,kaa
拤,kaa
揢,kaa/kak/kik
胢,kaa
胩,kaa
跒,kaa
鉲,kaa
髂,kaa
𡛨,kaa
䒓,kaai
炌,kaai
炏,kaai
蒈,kaai
𢬿,kaai
䘔,kaak
㸆,kaau
䎋,kaau
銬,kaau/kau
靠,kaau
鮳,kaau
鲓,kaau
𥬯,kaau
㒅,kai
㓞,kai/kit
㕃,kai
㠌,kai
㬖,kai
䁈,kai
䁉,kai
䆌,kai
䏿,kai
䚉,kai
䡔,kai
䫔,kai
䭫,kai
䭬,kai
䳶,kai
启,kai
唘,kai
啓,kai
啔,kai
啟,kai
嵆,kai
嵠,kai
晵,kai
栔,kai
棨,kai
渓,kai
溪,kai
碶,kai
磎,kai
稽,kai
蟿,kai
諬,kai
鑙,kai
闙,kai
鸂,kai
𢻻,kai
𣘼,kai
𧡘,kai
𠸉,kak
㕋,kam
㪁,kam
䔷,kam
䥅,kam
䥆,kam
䦦,kam
噙,kam
妗,kam
庈,kam
忴,kam/kim
捦,kam
擒,kam
檎,kam
澿,kam
珡,kam
琴,kam
琹,kam
禽,kam
耹,kam
芩,kam/sam
蚙,kam/kim
蠄,kam
衾,kam
軡,kam/kim
雂,kam
靎,kam
靲,kam
鳹,kam/kim
鵭,kam
𠸐,kam
𠹸,kam
𢫏,kam
𨨖,kam
㘦,kan
㢙,kan
䓅,kan
勤,kan
慬,kan
懃,kan
懄,kan
斳,kan
芹,kan
菦,kan
𣂷,kan
𣂼,kan
掯,kang
裉,kang
褃,kang
𠼰,kang
𣔨,kang
㒆,kap
㘊,kap
㬛,kap
㲸,kap
㴔,kap
䲯,kap
吸,kap
噏,kap/ngap
圾,kap/ngap/saap
汲,kap
笈,kap
級,kap
給,kap
鈒,kap/zaap
𢎽,kap
𢲩,kap
𤜯,kap
𨸚,kap
𪘁,kap
㓂,kau
㕤,kau
㛏,kau
㟈,kau
㡚,kau
㤹,kau
㧨,kau
㭝,kau
㳰,kau
㸨,kau
㺉,kau
㺫,kau
㽛,kau
䁱,kau
䊵,kau
䍍,kau
䑦,kau
䓻,kau
䛮,kau
䜪,kau
䟵,kau
䡂,kau
䣇,kau
䤛,kau
䪷,kau
䬲,kau
䳎,kau
䳹,kau
俅,kau
冦,kau
剾,kau
叩,kau
叴,kau
宼,kau
寇,kau
巰,kau
彄,kau
扏,kau
扣,kau
摳,kau
敂,kau
构,kau
桕,kau
梂,kau
欍,kau
殏,kau
毬,kau
求,kau
浗,kau
滱,kau
犰,kau
玌,kau
球,kau
璆,kau
皳,kau
盚,kau
瞘,kau
窛,kau
筘,kau
簆,kau
紌,kau
絿,kau
臼,kau
舅,kau
芁,kau
莍,kau
蔲,kau
蔻,kau
虬,kau
虯,kau
蛷,kau
裘,kau
褠,kau
觓,kau
觩,kau
訄,kau
訅,kau
豞,kau
賕,kau
逑,kau
釚,kau
釦,kau
銶,kau
頄,kau/kwai
鯄,kau
鷇,kau
麔,kau
鼽,kau
齨,kau
𥟇,kau
𦬅,kau
𦸅,kau
𨫣,kau
㧝,ke
拁,ke
瘸,ke/koe
𡲢,ke
𡶐,ke
𨔽,ke
㐞,kei
㖉,kei
㞿,kei
㟓,kei
㟚,kei
㟢,kei
㥓,kei
㩻,kei
㩽,kei
㫅,kei
㯦,kei
㱦,kei
䀈,kei
䃆,kei
䄎,kei
䅲,kei
䉻,kei
䑴,kei
䓫,kei
䕤,kei
䙫,kei
䞚,kei
䡋,kei
䩓,kei
䭶,kei
䭼,kei
䰇,kei
䲬,kei
䳢,kei
䶞,kei
丠,kei
亓,kei
企,kei
俟,kei/zi
兾,kei
凧,kei
剘,kei
呮,kei
圻,kei/ngan
埼,kei
岐,kei
岓,kei
崎,kei
嵜,kei
帺,kei
忯,kei/si
愭,kei
掑,kei
攲,kei
旂,kei
旗,kei
曁,kei
枝,kei/zi
棊,kei
棋,kei
樭,kei
檱,kei
櫀,kei
歧,kei
汥,kei/zi
淇,kei
濝,kei
猉,kei
玂,kei
琦,kei
琪,kei
璂,kei
疧,kei/zi
碕,kei
示,kei/si
祁,kei
祇,kei/zi
祈,kei
祺,kei
禥,kei
秖,kei/zi
竒,kei
簯,kei
簱,kei
籏,kei
粸,kei
綥,kei
綦,kei
綨,kei
耆,kei/si
肵,kei
芪,kei
藄,kei
蘄,kei
蘎,kei
蚑,kei
蚔,kei/zi
蚚,kei
蜝,kei
蜞,kei
螧,kei
蟐,kei
衹,kei/zi
跂,kei
軝,kei
錡,kei
頎,kei
騏,kei
騹,kei
鬐,kei
鬿,kei
魕,kei
鮨,kei/ngai/zi
鯕,kei
鰭,kei
鵸,kei
麒,kei
𡸷,kei
𣄃,kei
𣗍,kei
𣾁,kei
𣾏,kei
𤊄,kei
𤦺,kei
𤪌,kei
𦝁,kei
𦮳,kei
𦸀,kei
𧯯,kei
𨀣,kei
𩃤,kei
㞃,kek
乪,kek
劇,kek
屐,kek
臄,kek/koek
㐝,keoi
㘗,keoi
㜹,keoi
㣄,keoi
㣘,keoi
㪺,keoi
㬬,keoi
㭕,keoi
㯫,keoi
㲘,keoi
䀠,keoi
䂂,keoi
䆽,keoi
䋧,keoi
䒧,keoi
䝣,keoi
䞤,keoi
䟊,keoi
䧢,keoi
䮃,keoi
䵶,keoi
佉,keoi
倶,keoi
劬,keoi
岴,keoi
嶇,keoi
忂,keoi
憈,keoi
戵,keoi
抅,keoi
拒,keoi
拘,keoi
斪,keoi
朐,keoi
欋,keoi
氍,keoi
淭,keoi
渠,keoi
灈,keoi
爠,keoi
璖,keoi
璩,keoi
癯,keoi
磲,keoi
祛,keoi
絇,keoi
胊,keoi
胠,keoi
臞,keoi
菃,keoi
葋,keoi
蕖,keoi
蘧,keoi
蟝,keoi
蠷,keoi
衢,keoi
袪,keoi
跔,keoi
躣,keoi
軀,keoi
軥,keoi
鑺,keoi
阹,keoi
駆,keoi
駈,keoi
駒,keoi
驅,keoi
魼,keoi
鰸,keoi
鱋,keoi
鴝,keoi
鸜,keoi
鼩,keoi
𠰠,keoi
𠳔,keoi
𢳉,keoi
𤨎,keoi
𥕥,keoi
𨬡,keoi
𪆫,keoi
𠵇,keu
欫,kik
缼,kik
𠽤,kik
𢲈,kik
䈤,kim
岒,kim
拑,kim
箝,kim
鈐,kim
鉗,kim
鍼,kim/zam
黔,kim
黚,kim
㓺,kin
㨜,kin
㨴,kin
䖍,kin
墘,kin
掮,kin
榩,kin
菣,kin
虔,kin
騝,kin
鰬,kin
㒌,king
㔀,king
㢣,king
㩩,king
㯳,king
㷀,king
㼇,king
䯧,king
䲔,king
䵞,king
傾,king
儝,king
剠,king
勍,king
廎,king
惸,king
憌,king
擎,king
棾,king
樈,king
橩,king
檠,king
焭,king
煢,king
琼,king
璚,king/kyut
瓊,king
瓗,king/kwai
睘,king
瞏,king
藑,king
赹,king
頃,king
鯨,king
黥,king
𢐧,king
𥈲,kip
㐖,kit
㓶,kit
㔛,kit
㩪,kit
㼤,kit
䂒,kit
䕵,kit
䙽,kit
䤿,kit
䦖,kit
䩤,kit
䩧,kit
劼,kit
掲,kit
朅,kit
硈,kit
碣,kit
礍,kit
竭,kit
緳,kit
翓,kit
藒,kit
蛣,kit
蝢,kit
褉,kit
襭,kit
鍥,kit
鐑,kit
鞊,kit
𡐤,kit
𤂌,kit
𥜝,kit
㚁,kiu
㝯,kiu
䀉,kiu
䆻,kiu
䎗,kiu
僑,kiu
勪,kiu
喬,kiu
嘺,kiu
槗,kiu
橋,kiu
犞,kiu
礄,kiu
荍,kiu
蕎,kiu
藠,kiu
趫,kiu
躈,kiu
鐈,kiu
鞽,kiu
𣾷,kiu
𤩝,kiu
𧄍,kiu
糹,kiu si bin
𠹭,ko
翗,koe
㑢,koek
㕁,koek
㘌,koek
㷾,koek
㾡,koek
䐘,koek
䖼,koek
却,koek
卻,koek
𨚫,koek
㛨,koeng
㩖,koeng
䃨,koeng
䥒,koeng
嵹,koeng
弜,koeng
摾,koeng
滰,koeng
漒,koeng
繈,koeng
繦,koeng
襁,koeng
謽,koeng
鏹,koeng
㪡,koi
㮣,koi
匃,koi
慨,koi
戤,koi
槩,koi
槪,koi
漑,koi
鈣,koi
㕡,kok
㙜,kok
㤩,kok
㨯,kok/kwok
㩁,kok
㰌,kok
㱋,kok
㱿,kok
㲉,kok
㴶,kok
塙,kok
墧,kok
壑,kok
恪,kok
愘,kok
愙,kok
愨,kok
慤,kok
拡,kok/kwok
挄,kok/kwok
燩,kok
硞,kok/kuk
确,kok
確,kok
碻,kok
礐,kok
礭,kok
𡌃,kok
𢡱,kok
𤥢,kok
㢜,kong
㾠,kong
䊯,kong
䯑,kong/kwong
䵃,kong/kwong
伉,kong
儣,kong/kwong
匟,kong
卝,kong
囥,kong
壙,kong/kwong
夼,kong/kwong
奛,kong
忹,kong
懬,kong/kwong
懭,kong/kwong
抂,kong/kwong
抗,kong
昿,kong/kwong
曠,kong/kwong
爌,kong/kwong
犺,kong
狂,kong/kwong
砿,kong
穬,kong/kwong
絋,kong/kwong
絖,kong/kwong
纊,kong/kwong
軖,kong/kwong
邟,kong
鄺,kong/kwong
鈧,kong
鉱,kong
鋛,kong
閌,kong
骯,kong/ong
鵟,kong/kwong
黋,kong/kwong
㗄,ku
圐,ku
笟,ku
箍,ku
篐,ku
䈐,kui
䙡,kui
䭝,kui
䯤,kui
儈,kui
劊,kui
圚,kui/wui
巜,kui
廥,kui
憒,kui
旝,kui
會,kui/wui
槶,kui
檜,kui
殨,kui
潰,kui
澮,kui
獪,kui
禬,kui/wui
糩,kui
絵,kui
繢,kui
繪,kui
聵,kui/ngoi/wui
膾,kui
蔮,kui
薈,kui/wai/wui
螝,kui
襘,kui
鄶,kui
鬠,kui/kut
鱠,kui
㖆,kuk
㻃,kuk
䒼,kuk
䢗,kuk
匤,kuk
峼,kuk
曲,kuk
浀,kuk
筁,kuk
粬,kuk
蛐,kuk
髷,kuk
㧭,kung
㮪,kung
䅃,kung
䊄,kung
匔,kung
卭,kung
宆,kung
桏,kung
窮,kung
竆,kung
笻,kung
筇,kung
藭,kung
蛩,kung
跫,kung
邛,kung
銎,kung
𠶥,kung
䟯,kut
䯏,kut
䯺,kut
奯,kut
姡,kut/waat/wut
懖,kut
桰,kut
活,kut/wut
濊,kut/wai
眓,kut
筈,kut
聒,kut
萿,kut/wut
葀,kut
适,kut/sik
頢,kut
髺,kut
鴰,kut
𨓈,kut
㐄,kwaa
㡁,kwaa
䓙,kwaa
䠸,kwaa
䯞,kwaa
侉,kwaa
咵,kwaa
喎,kwaa/waa/wo
垮,kwaa
夸,kwaa
姱,kwaa
舿,kwaa
誇,kwaa
跨,kwaa
銙,kwaa
骻,kwaa
㨤,kwaai
嘳,kwaai
擓,kwaai
𡁸,kwaak
𡃈,kwaak
䆲,kwaang
㔒,kwai
㙓,kwai
㙺,kwai
㟡,kwai
㩗,kwai
㩦,kwai
㽯,kwai
䀘,kwai
䂓,kwai
䕫,kwai
䖯,kwai
䙵,kwai
䞨,kwai
䟸,kwai
䠑,kwai
䤆,kwai
䥴,kwai
䧶,kwai
䯓,kwai
䯣,kwai
䰎,kwai
䲅,kwai
䳫,kwai
䶯,kwai
夔,kwai
嫢,kwai
尯,kwai
嶲,kwai/seoi
巂,kwai/sai/seoi
巋,kwai
愧,kwai
戣,kwai
揆,kwai
携,kwai
摫,kwai
擕,kwai
攜,kwai
晆,kwai
暌,kwai
楑,kwai
槻,kwai
槼,kwai
檇,kwai/zeoi
煃,kwai
犪,kwai
畦,kwai
盔,kwai
睽,kwai
瞡,kwai
硊,kwai/ngai
窺,kwai
纗,kwai/waa
聧,kwai
葵,kwai
蘬,kwai/wai
蘷,kwai
虁,kwai
虧,kwai
蠵,kwai
規,kwai
觖,kwai/kyut
觹,kwai
觽,kwai
謉,kwai
讗,kwai
跬,kwai
蹞,kwai
躨,kwai
逵,kwai
鄈,kwai
酅,kwai
鍨,kwai
鍷,kwai
鑴,kwai
闚,kwai
隗,kwai/ngai/wai
雟,kwai/sai/seoi
頍,kwai
頯,kwai
馗,kwai
騤,kwai
驨,kwai
鬹,kwai
𡋣,kwai
𡖂,kwai
𢹂,kwai
𣋒,kwai
𣿮,kwai
𤩸,kwai
𧃍,kwai
𧤤,kwai
𩓚,kwai
𪆴,kwai
䕫,kwai
㒭,kwan
㟒,kwan
㪊,kwan
㬷,kwan
㻒,kwan
㿏,kwan
䇹,kwan
䐃,kwan
䖵,kwan
䠅,kwan
䭽,kwan
侰,kwan
僒,kwan
困,kwan
囷,kwan
坤,kwan
堃,kwan
堒,kwan
壼,kwan
宭,kwan
尡,kwan
峮,kwan
帬,kwan
悃,kwan
捆,kwan
攈,kwan
攗,kwan/mei
攟,kwan
梱,kwan
涃,kwan
熴,kwan
猑,kwan
瑻,kwan
硱,kwan
碅,kwan
祵,kwan
稇,kwan
稛,kwan
窘,kwan
箘,kwan
箟,kwan
綑,kwan
羣,kwan
群,kwan
菌,kwan
菎,kwan
蜠,kwan
裍,kwan
裙,kwan
裠,kwan
輑,kwan
醌,kwan
閫,kwan
閸,kwan
騉,kwan
髠,kwan
髡,kwan
髨,kwan
齫,kwan
𠳁,kwan
𡑔,kwan
𡝗,kwan
𡢡,kwan
𢹲,kwan
𣱣,kwan
𤍣,kwan
𤨾,kwan
𦴨,kwan
𧥺,kwan
𨬌,kwan
㚚,kwang
䠐,kwik
掝,kwik/waak
烅,kwik
郥,kwik
閾,kwik/wik
㗥,kwok
鞟,kwok
鞹,kwok
狅,kwong
軠,kwong
㩲,kyun
䑏,kyun
䟒,kyun
䠰,kyun
啳,kyun
孉,kyun
巏,kyun
拳,kyun
搼,kyun
権,kyun
權,kyun
腃,kyun/wai
蜷,kyun
蠸,kyun
踡,kyun
顴,kyun
鬈,kyun
齤,kyun
㙭,kyut
㭈,kyut
㵐,kyut
㹟,kyut
䀗,kyut
䍳,kyut
䏐,kyut
䝌,kyut
䞵,kyut
䦬,kyut
䦼,kyut
亅,kyut
决,kyut
刔,kyut
厥,kyut
噘,kyut
孒,kyut
孓,kyut
憠,kyut
抉,kyut
挗,kyut
橜,kyut
欮,kyut
殌,kyut
氒,kyut
灍,kyut
獗,kyut
玦,kyut
琷,kyut
疦,kyut
瘚,kyut
砄,kyut
缺,kyut
芵,kyut
蒛,kyut
蕨,kyut
蚗,kyut
蟨,kyut
蟩,kyut
觼,kyut
訣,kyut
趹,kyut
蹷,kyut
轣,kyut/lik
鈌,kyut
鐍,kyut
鐝,kyut
闋,kyut
鴃,kyut
鷢,kyut
𠄌,kyut
啦,la/laa
嘞,la/laak/lak
㖸,laa
㙤,laa
了,laa/liu
剌,laa/laat
喇,laa/laat
嚹,laa
垃,laa/laap
拉,laa/laai/laap/laat
揦,laa
旯,laa/lo
砬,laa/laap
磖,laa/laap
罅,laa
鎼,laa
鏬,laa
鞡,laa/laai
𡅈,laa
𢲡,laa/naa
𤰚,laa
㜨,laai/naai
㜷,laai/naai
㲕,laai
㸊,laai
䄤,laai
䍲,laai/naai
䓶,laai
䠭,laai
䲚,laai
厲,laai/lai
孻,laai
攋,laai
櫴,laai
瀨,laai
瀬,laai
犡,laai/lai
癘,laai/lai
癩,laai/laat
籟,laai
腉,laai/naai
舐,laai/saai/si
落,laai/lok
藾,laai
襰,laai
賴,laai
酹,laai/leoi/loi/lyut
頼,laai
顂,laai
鵣,laai
𡃤,laai
𡝰,laai
𣧂,laai
𦧺,laai
勒,laak/lak
砳,laak
簕,laak/lak
肋,laak/lak
𨊛,laak
㑣,laam
㜮,laam
㞩,laam
㧛,laam
㩜,laam
㰓,laam
㰖,laam
㲯,laam
㺌,laam
䆾,laam
䌫,laam
䰐,laam
儖,laam
嚂,laam
婪,laam
嵐,laam
惏,laam/lam
懢,laam
擥,laam
攬,laam
欖,laam
漤,laam
灆,laam
灠,laam
燣,laam
燷,laam
爁,laam
爦,laam
璼,laam
礷,laam
籃,laam
繿,laam
纜,laam
罱,laam
艦,laam
葻,laam
藍,laam
襤,laam
覧,laam
覽,laam
𡺤,laam
𨅏,laam
𨈇,laam
𩖞,laam
㘓,laan
㦨,laan
㱫,laan
䃹,laan
䑌,laan
䦨,laan
䪍,laan
囒,laan
嬾,laan
孄,laan
孏,laan
幱,laan
懶,laan
攔,laan
斕,laan
欄,laan
欗,laan
瀾,laan
灡,laan
燗,laan
爛,laan
爤,laan
瓓,laan
籣,laan
糷,laan
蘭,laan
襴,laan
襽,laan
譋,laan
讕,laan
躝,laan
鑭,laan
钄,laan
闌,laan
韊,laan
𢦂,laan
䆡,laang
冷,laang
唥,laang
㕇,laap
㘝,laap/naap
㡴,laap
㧜,laap
㼃,laap
䁽,laap
䂰,laap
䃳,laap
䗶,laap
䶘,laap
岦,laap/lap
擸,laap/lip
柆,laap
爉,laap
立,laap/lap
翋,laap
腊,laap/sik
臈,laap
臘,laap/lip
菈,laap
蒳,laap/naap
蝋,laap
蠟,laap
邋,laap/laat/lip
鉝,laap
